Row,udp,select,bin,run,poll,media,sys,dev,etc,usr,root,host,brk,boot,mkdir,write,connect,tcp,clone_API,proc,read,var,network_http,File_IO,kill_API,accept,home,munmap,mnt,opt,rename,srv,mmap,chdir_API,network_connection,execve_API,Normal,Attack
0 ,0,57,0,0,0,0,0,345,208,0,1297,0,0,0,0,0,4,0,91,48,0,0,18,15938,0,0,0,216,0,0,0,0,1086,0,9,162,0 ,1 
0 ,0,196,0,0,0,0,0,9,0,0,416,0,0,0,0,0,0,0,0,0,0,0,8,425,0,0,0,0,0,0,2,0,4,0,66,0,0 ,1 
0 ,0,1568,0,0,30,0,5,85,20,0,972,0,0,0,8,0,0,0,10,0,0,0,8,4132,0,0,0,36,0,0,144,0,260,2,65,2,0 ,1 
0 ,0,1731,0,0,20,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,39,0,0,0,36,0,0,0,0,42,0,68,0,0 ,1 
0 ,0,1505,0,0,26,0,0,7,0,0,11,0,0,0,0,0,0,0,6,0,0,0,8,18,0,0,0,0,0,0,0,0,2,0,88,0,0 ,1 
0 ,0,1436,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,66,0,0 ,1 
0 ,0,1421,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,55,0,0 ,1 
0 ,0,1193,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0 ,1 
0 ,0,1064,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0 ,1 
0 ,0,1010,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,27,0,0 ,1 
0 ,0,842,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0 ,1 
0 ,0,798,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,35,0,0 ,1 
0 ,0,704,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,20,0,0 ,1 
0 ,0,725,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,28,0,0 ,1 
0 ,0,656,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,34,0,0 ,1 
0 ,0,308,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0 ,1 
0 ,0,269,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,33,0,0 ,1 
0 ,0,455,0,0,0,0,0,12,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,1,0,0,0,0,30,0,1,2,0 ,1 
0 ,0,392,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0 ,1 
0 ,0,499,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0 ,1 
0 ,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,1 
0 ,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,1 
0 ,0,297,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0 ,1 
0 ,0,319,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13,0,0 ,1 
0 ,0,437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0 ,1 
0 ,0,428,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0 ,1 
0 ,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,1 
0 ,0,486,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0 ,1 
0 ,0,322,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0 ,1 
0 ,0,422,0,0,0,0,0,2,1,0,31,0,0,0,0,0,1,0,3,1,0,0,1,89,0,0,0,1,0,0,0,0,1,0,5,3,0 ,1 
0 ,0,527,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0 ,1 
0 ,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,1 
0 ,0,409,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,1 
0 ,0,430,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0 ,1 
0 ,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0 ,1 
0 ,0,412,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0 ,1 
