Row,udp,select,bin,run,poll,media,sys,dev,etc,usr,root,host,brk,boot,mkdir,write,connect,tcp,clone_API,proc,read,var,network_http,File_IO,kill_API,accept,home,munmap,mnt,opt,rename,srv,mmap,chdir_API,network_connection,execve_API,Normal,Attack
0 ,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,464,0,0,0,0,0,0,194,0,1 ,0 
0 ,0,18,0,0,3363,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,261,58,652,0,1,0,406,0,0,0,0,0,116,5846,0,1 ,0 
0 ,0,18,0,0,7639,0,0,0,696,0,0,0,0,0,0,0,0,0,24,40,0,605,133,1603,0,24,0,139,0,0,0,0,314,264,13107,0,1 ,0 
0 ,0,18,0,0,8399,0,0,0,798,0,0,0,0,0,0,0,0,0,30,50,0,687,144,1825,0,32,0,211,0,0,0,0,360,290,14360,0,1 ,0 
0 ,0,11,0,0,8819,0,0,0,802,0,0,0,0,0,0,0,0,0,6,10,0,780,154,1900,0,35,0,100,0,0,0,0,106,313,15093,0,1 ,0 
0 ,0,11,0,0,9161,0,0,0,794,0,0,0,0,0,0,0,0,0,0,1,0,816,150,1922,0,44,0,58,0,0,0,0,62,319,15708,0,1 ,0 
0 ,0,16,0,0,9057,0,0,0,932,0,0,0,0,0,0,0,0,0,18,30,0,888,161,2164,0,50,0,82,0,0,0,0,207,327,15575,0,1 ,0 
0 ,0,12,0,0,8927,0,0,0,961,0,0,0,0,0,0,0,0,0,28,45,0,889,160,2207,0,54,0,58,0,0,0,0,236,338,15512,0,1 ,0 
0 ,0,8,0,0,9183,0,0,0,874,0,0,0,0,0,0,0,0,0,8,10,0,850,170,2060,0,61,0,244,0,0,0,0,330,337,15948,0,1 ,0 
0 ,0,5,0,0,9278,0,0,0,895,0,0,0,0,0,0,0,0,0,14,21,0,872,160,2106,0,64,0,109,0,0,0,0,190,337,16102,0,1 ,0 
0 ,0,14,0,0,8832,0,0,0,938,0,0,0,0,0,0,0,0,0,21,35,0,897,161,2194,0,58,0,231,0,0,0,0,113,350,15562,0,1 ,0 
