Row,udp,select,bin,run,poll,media,sys,dev,etc,usr,root,host,brk,boot,mkdir,write,connect,tcp,clone_API,proc,read,var,network_http,File_IO,kill_API,accept,home,munmap,mnt,opt,rename,srv,mmap,chdir_API,network_connection,execve_API,Normal,Attack
0 ,9,40,0,0,34,0,0,0,138,0,0,0,0,0,0,0,0,406,18,0,0,104,5,367,0,8,0,42,0,0,0,0,146,10,503,9,0 ,1 
0 ,0,44,0,0,506,0,0,23,2228,0,0,0,0,0,0,0,24,6210,427,48,0,1695,85,7962,0,127,0,728,0,0,0,0,2222,170,6569,131,0 ,1 
0 ,0,42,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4434,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4674,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4428,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4668,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4428,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4668,30,0 ,1 
0 ,0,42,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,27,42,0,0,372,0,0,0,1410,0,0,0,0,0,0,0,12,4440,102,0,0,1164,60,3279,0,90,0,350,0,0,0,0,802,120,4716,36,0 ,1 
0 ,0,42,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4434,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4674,30,0 ,1 
0 ,27,40,0,0,372,0,0,0,1410,0,0,0,0,0,0,0,12,4440,99,0,0,1164,60,3279,0,90,0,348,0,0,0,0,798,120,4716,36,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,42,0,0,360,0,0,0,1410,0,0,0,0,0,0,0,12,4428,135,0,0,1164,60,3279,0,90,0,348,0,0,0,0,798,120,4671,36,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4422,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4662,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1410,0,0,0,0,0,0,0,12,4440,99,0,0,1164,60,3279,0,90,0,348,0,0,0,0,798,120,4683,36,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,369,0,0,0,1249,0,0,0,0,0,0,0,0,4520,90,0,0,1202,61,3060,0,92,0,304,0,0,0,0,664,122,4768,30,0 ,1 
0 ,9,44,0,0,374,0,0,0,1331,0,0,0,0,0,0,0,4,4544,96,0,0,1206,61,3188,0,92,0,326,0,0,0,0,728,124,4804,33,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,27,40,0,0,372,0,0,0,1410,0,0,0,0,0,0,0,12,4440,135,0,0,1164,60,3279,0,90,0,348,0,0,0,0,798,120,4716,36,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4428,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4668,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,370,0,0,0,1266,0,0,0,0,0,0,0,0,4526,90,0,0,1202,61,3077,0,92,0,308,0,0,0,0,668,122,4774,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,44,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,42,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4434,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4674,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
0 ,0,40,0,0,360,0,0,0,1230,0,0,0,0,0,0,0,0,4440,90,0,0,1170,60,3000,0,90,0,300,0,0,0,0,660,120,4680,30,0 ,1 
