Row,udp,select,bin,run,poll,media,sys,dev,etc,usr,root,host,brk,boot,mkdir,write,connect,tcp,clone_API,proc,read,var,network_http,File_IO,kill_API,accept,home,munmap,mnt,opt,rename,srv,mmap,chdir_API,network_connection,execve_API,Normal,Attack
0 ,0,20,0,0,354,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,6,66,0,0,0,0,0,0,0,0,0,12,610,0,1 ,0 
0 ,0,16,0,0,5575,0,0,0,498,0,0,0,0,0,0,0,0,0,18,30,0,432,96,1136,0,18,0,172,0,0,0,0,316,192,9508,0,1 ,0 
0 ,0,14,0,0,8934,0,0,0,809,0,0,0,0,0,0,0,0,0,24,40,0,722,151,1801,0,35,0,278,0,0,0,0,534,304,15252,0,1 ,0 
0 ,0,11,0,0,9241,0,0,0,834,0,0,0,0,0,0,0,0,0,20,31,0,832,164,2016,0,41,0,149,0,0,0,0,256,323,15664,0,1 ,0 
0 ,0,11,0,0,8950,0,0,0,984,0,0,0,0,0,0,0,0,0,45,75,0,836,164,2216,0,62,0,192,0,0,0,0,435,331,15652,0,1 ,0 
0 ,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,570,0,0,0,0,0,0,240,0,1 ,0 
0 ,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,574,0,0,0,0,0,0,246,0,1 ,0 
0 ,0,20,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,566,0,0,0,0,0,0,244,0,1 ,0 
0 ,0,18,0,0,3063,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,243,53,596,0,4,0,146,0,0,0,0,20,106,5259,0,1 ,0 
0 ,0,18,0,0,5144,0,0,0,473,0,0,0,0,0,0,0,0,0,21,35,0,396,88,1080,0,23,0,146,0,0,0,0,332,176,8824,0,1 ,0 
0 ,0,13,0,0,8024,0,0,0,801,0,0,0,0,0,0,0,0,0,43,65,0,662,139,1776,0,42,0,452,0,0,0,0,633,278,13799,0,1 ,0 
0 ,0,13,0,0,9044,0,0,0,930,0,0,0,0,0,0,0,0,0,43,71,0,821,165,2151,0,53,0,219,0,0,0,0,470,333,15556,0,1 ,0 
0 ,0,12,0,0,9196,0,0,0,860,0,0,0,0,0,0,0,0,0,10,15,0,830,171,2037,0,44,0,122,0,0,0,0,140,344,15808,0,1 ,0 
0 ,0,14,0,0,9478,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,880,168,2066,0,59,0,130,0,0,0,0,70,339,16435,0,1 ,0 
0 ,0,16,0,0,9354,0,0,0,1021,0,0,0,0,0,0,0,0,0,21,35,0,1011,190,2428,0,72,0,41,0,0,0,0,199,389,16378,0,1 ,0 
0 ,0,13,0,0,9474,0,0,0,809,0,0,0,0,0,0,0,0,0,9,15,0,814,147,1913,0,61,0,100,0,0,0,0,178,325,16533,0,1 ,0 
0 ,0,9,0,0,9337,0,0,0,883,0,0,0,0,0,0,0,0,0,4,2,0,926,178,2124,0,64,0,235,0,0,0,0,117,349,16376,0,1 ,0 
0 ,0,5,0,0,9178,0,0,0,971,0,0,0,0,0,0,0,1,0,35,51,0,968,195,2339,0,79,0,104,0,0,0,0,348,387,16283,0,1 ,0 
0 ,0,10,0,0,9095,0,0,0,908,0,0,0,0,0,0,0,0,0,3,5,0,992,182,2242,0,70,0,68,0,0,0,0,19,379,16093,0,1 ,0 
0 ,0,9,0,0,9164,0,0,0,807,0,0,0,0,0,0,0,0,0,5,5,0,847,154,1953,0,65,0,5,0,0,0,0,29,343,16079,0,1 ,0 
0 ,0,9,0,0,9417,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,1066,198,2431,0,73,0,178,0,0,0,0,13,384,16157,0,1 ,0 
0 ,0,7,0,0,9125,0,0,0,922,0,0,0,0,0,0,0,0,0,7,10,0,944,186,2211,0,64,0,17,0,0,0,0,106,387,15910,0,1 ,0 
